State_ID,Resource_Type,Resource_Amount,Required_Tech,Decision_ID,Required_Decision_ID
597,aluminium,12,excavation3,develop_shandong_aluminium_deposits,
621,steel,8,excavation2,develop_suiyuan_steel_deposits,
714,oil,4,excavation2,develop_daqing_deposits,
714,oil,8,excavation4,develop_daqing_deposits_2,develop_daqing_deposits
325,aluminium,12,excavation3,develop_yunnan_aluminium_deposits,
328,aluminium,12,excavation2,develop_kirin_aluminium_deposits,
605,aluminium,12,excavation3,develop_sichuan_aluminium_deposits,
725,tungsten,4,excavation4,develop_nauru_tungsten_deposits,
671,aluminium,6,excavation4,develop_tonkin_aluminium_deposits,
336,aluminium,12,excavation2,develop_singapore_aluminium_deposits,
662,oil,8,excavation3,develop_sirte_oil_fields,
450,oil,4,excavation4,develop_benghazi_oil_fields,
518,aluminium,8,excavation3,develop_tasmania_aluminium_deposits,
556,aluminium,8,excavation3,develop_west_africa_aluminium_deposits,
556,aluminium,4,excavation5,develop_west_africa_aluminium_deposits_2,develop_west_africa_aluminium_deposits
543,rubber,8,construction1,develop_madagascar_rubber_plantations,
543,rubber,8,construction1,develop_madagascar_rubber_plantations_2,develop_madagascar_rubber_plantations
837,rubber,6,excavation3,develop_sidamo_rubber_plantations,
558,rubber,10,construction1,develop_nigeria_rubber_plantations,
56,oil,6,excavation4,develop_ems_oil_fields,
4,oil,4,excavation5,develop_matzen_oil_fields,
36,oil,6,excavation4,develop_friesland_oil_fields,
347,steel,23,construction3,expand_eregli_steel_works,
331,steel,12,excavation3,develop_newfoundland_steel,
862,steel,12,excavation2,develop_quebec_steel,
315,steel,6,excavation3,develop_cuba_steel,
372,aluminium,12,excavation2,develop_arkansas_aluminium_deposits,
358,aluminium,12,construction2,develop_new_york_aluminium_deposits,
368,aluminium,12,construction2,develop_tennessee_aluminium_deposits,
386,aluminium,12,construction2,develop_washington_aluminium_deposits,
387,tungsten,6,excavation3,develop_idaho_tungsten_deposits,
378,tungsten,6,excavation3,develop_california_tungsten_deposits,
391,steel,12,construction3,develop_minnesota_steel_deposits,
360,steel,12,excavation3,develop_pennsylvania_steel_deposits,
261,steel,12,construction3,develop_ohio_steel_deposits,
396,steel,12,construction3,develop_indiana_steel_deposits,
388,chromium,6,excavation4,develop_montana_chromium_deposits,
889,chromium,10,excavation3,develop_katanga_cobalt_deposits,
889,chromium,12,excavation3,develop_katanga_cobalt_deposits_2,develop_katanga_cobalt_deposits
378,chromium,6,excavation4,develop_california_chromium_deposits,
385,chromium,26,excavation4,develop_oregon_chromium_deposits,
463,chromium,26,excavation5,develop_alaska_chromium_deposits,
537,oil,8,excavation3,develop_south_sakhalin_oil_deposits,
647,aluminium,12,excavation2,develop_palau_aluminium_deposits,
524,aluminium,6,excavation2,develop_taiwan_aluminium_deposits,
524,oil,6,excavation3,develop_taiwan_oil_deposits,
123,tungsten,4,excavation2,develop_cornwall_tungsten_deposits_1,
123,tungsten,6,excavation4,develop_cornwall_tungsten_deposits_2,develop_cornwall_tungsten_deposits_1
195,aluminium,12,excavation2,develop_leningrad_aluminium_deposits,
653,aluminium,12,excavation2,develop_kamensk_aluminium_deposits,
217,aluminium,12,excavation4,develop_stalingrad_aluminium_deposits,
233,tungsten,6,excavation3,develop_caucasus_tungsten_deposits_1,
233,tungsten,10,excavation5,develop_caucasus_tungsten_deposits_2,develop_caucasus_tungsten_deposits_1
404,tungsten,8,excavation4,develop_kyzyl_tungsten_deposits,
572,steel,20,construction4,develop_chelyabinsk_steel_deposits,
573,steel,10,construction3,develop_zlatoust_steel_deposits_1,
573,steel,20,construction4,develop_zlatoust_steel_deposits_2,develop_zlatoust_steel_deposits_1
220,steel,12,excavation2,develop_kursk_steel_deposits,
220,steel,12,excavation3,develop_kursk_steel_deposits_2,develop_kursk_steel_deposits
220,steel,12,excavation4,develop_kursk_steel_deposits_3,develop_kursk_steel_deposits_2
240,steel,12,excavation2,develop_Belgorod_steel_deposits,
240,steel,12,excavation3,develop_Belgorod_steel_deposits_2,develop_Belgorod_steel_deposits
240,steel,12,excavation4,develop_Belgorod_steel_deposits_3,develop_Belgorod_steel_deposits_2
407,chromium,10,excavation3,develop_uralsk_chromium_deposits_1,
407,chromium,15,excavation5,develop_uralsk_chromium_deposits_2,develop_uralsk_chromium_deposits_1
716,steel,16,construction3,develop_liaotung_iron_ore_deposits,
527,tungsten,6,excavation3,develop_chosen_tungsten_deposits,
658,oil,8,excavation5,develop_abu_dhabi_oil_fields,
656,oil,18,excavation5,develop_kuwait_oil_fields,
1015,oil,12,excavation5,develop_omani_oil_fields,
413,oil,16,excavation4,develop_khuzestan_oil_fields,
412,oil,6,excavation4,develop_fars_oil_fields,
291,oil,18,excavation5,develop_baghdad_oil_fields,
676,oil,28,excavation3,develop_mosul_oil_fields,
859,oil,22,excavation5,develop_nejd_oil_fields,
457,oil,6,excavation3,develop_eastern_desert_oil_fields,
765,oil,8,excavation4,develop_qatar_oil_fields,
344,chromium,15,excavation2,develop_malatya_chromium_deposits,
345,chromium,34,excavation3,develop_mersin_chromium_mines,
350,chromium,36,excavation2,utilize_diyarbakir_chromium_deposits,
49,steel,12,construction3,expand_the_kirikkale_steel_mills,
349,steel,28,excavation4,develop_the_iron_mines_in_divrigi,
350,oil,8,excavation3,exploit_the_raman_oil_field,
350,oil,10,excavation4,drill_in_the_garzan_oil_field,
350,oil,18,excavation5,expand_the_west_raman_oil_field,
448,oil,4,excavation3,develop_tripoli_oil_fields,
448,steel,8,excavation3,develop_tripoli_steel_deposits,
155,aluminium,24,excavation2,develop_transdanubia_aluminium_deposits,
43,steel,14,excavation2,expand_the_rudabanya_iron_mine,
76,oil,24,excavation4,develop_derna_oilfield,
155,oil,14,excavation3,HUN_tap_the_nagylengyel_oil_field,
155,oil,8,excavation3,HUN_explore_the_oil_fields_around_nagykanizsa,
666,steel,24,excavation4,deeper_swedish_mines,
101,steel,8,excavation3,expand_greenlands_mines,
688,oil,12,excavation3,drill_for_oil_in_chaco_boreal,
688,oil,16,excavation4,drill_for_oil_in_chaco_boreal_2,drill_for_oil_in_chaco_boreal
976,steel,8,excavation2,AUS_develop_bleiberger_mines,
602,tungsten,10,excavation2,CHI_develop_hunan_tungsten_mines,
600,tungsten,10,excavation2,CHI_develop_jiangxi_tungsten_mines,
502,coal,20,excavation3,develop_rio_grande_sul_coal_mines,
942,aluminium,12,excavation4,develop_guapore_casserite_deposits,
493,coal,12,excavation3,develop_la_libertad_coal_mines,
628,coal,6,excavation3,develop_western_visayas_coal_mines,
578,coal,33,excavation3,expand_tomsk_coal_mines,
48,coal,7,excavation3,expand_sofia_coal_mines,
155,coal,13,excavation3,expand_north_transdanubia_coal_mines,
104,coal,4,excavation3,expand_bosnia_coal_mines,
303,coal,8,excavation3,expand_lima_coal_mines,
506,coal,5,excavation3,expand_antofagasta_coal_mines,
511,coal,5,excavation3,develop_mendoza_coal_mines,
70,coal,20,excavation3,develop_western_slovakia_coal_mines,
72,coal,7,excavation3,expand_tesinsko_coal_mines,
51,coal,25,excavation3,expand_german_coal_mines,
42,coal,25,excavation3,expand_german_coal_mines,
65,coal,25,excavation3,expand_german_coal_mines,
60,coal,25,excavation3,expand_german_coal_mines,
66,coal,25,excavation3,expand_german_coal_mines,
275,coal,10,excavation3,expand_transvaal_coal_mines,
435,coal,9,excavation3,expand_bihar_coal_mines,
869,coal,13,excavation4,open_mae_moh_lignite_mine,
375,oil,16,excavation3,expand_east_texas_oil_field,
375,oil,24,excavation4,expand_east_texas_oil_field_2,expand_east_texas_oil_field
470,oil,12,excavation4,develop_leduc_oil_fields,
470,oil,16,excavation5,expand_leduc_oil_fields,develop_leduc_oil_fields
489,oil,18,excavation3,expand_lake_maracaibo_oil,
489,oil,20,excavation4,deepwater_lake_maracaibo_drilling,expand_lake_maracaibo_oil
46,oil,14,excavation3,expand_ploiesti_oil_fields,
46,oil,12,excavation4,deep_drilling_ploiesti,expand_ploiesti_oil_fields
249,oil,12,excavation4,develop_volga_ural_oil_1,
251,oil,16,excavation4,develop_volga_ural_oil_2,develop_volga_ural_oil_1
651,oil,14,excavation5,develop_volga_ural_oil_3,develop_volga_ural_oil_2
663,oil,18,excavation5,develop_zelten_oil_fields,
514,oil,24,excavation5,develop_hassi_messaoud_oil,
689,aluminium,16,excavation3,develop_jamaican_bauxite,
689,aluminium,24,excavation4,expand_jamaican_bauxite,develop_jamaican_bauxite
780,aluminium,18,excavation4,develop_guinean_bauxite,
780,aluminium,22,excavation5,expand_guinean_bauxite,develop_guinean_bauxite
872,aluminium,14,excavation4,develop_weipa_bauxite,
872,aluminium,20,excavation5,expand_weipa_bauxite,develop_weipa_bauxite
309,aluminium,18,excavation2,expand_suriname_bauxite,
309,aluminium,18,excavation3,maximize_suriname_bauxite,expand_suriname_bauxite
310,aluminium,8,excavation3,develop_french_guiana_bauxite,
274,aluminium,12,excavation3,develop_gold_coast_bauxite,
181,tungsten,10,excavation2,expand_portuguese_wolframite,
181,tungsten,8,excavation3,maximize_portuguese_wolframite,expand_portuguese_wolframite
180,tungsten,6,excavation3,develop_porto_tungsten,
1029,tungsten,12,excavation3,develop_sangdong_tungsten,
302,tungsten,10,excavation3,expand_bolivian_tungsten,
302,tungsten,12,excavation4,modernize_bolivian_tungsten,expand_bolivian_tungsten
473,tungsten,8,excavation4,develop_emerald_tungsten_mine,
938,rubber,12,construction2,revive_amazon_rubber_boom,
938,rubber,12,construction3,expand_fordlandia_plantations,revive_amazon_rubber_boom
495,rubber,8,construction3,develop_manaus_rubber,
298,rubber,14,construction2,expand_firestone_plantations,
298,rubber,16,construction4,maximize_liberian_rubber,expand_firestone_plantations
295,rubber,12,construction2,expand_congolese_rubber,
295,rubber,14,construction3,modernize_congolese_rubber,expand_congolese_rubber
540,rubber,8,construction2,develop_angolan_rubber,
336,rubber,18,construction2,expand_malayan_rubber,
336,rubber,24,construction4,modernize_malayan_rubber,expand_malayan_rubber
666,steel,16,excavation5,kiruna_mega_scale_mining,deeper_swedish_mines
582,steel,24,construction3,expand_magnitogorsk_complex,
582,steel,30,construction4,magnitogorsk_second_furnace,expand_magnitogorsk_complex
496,steel,20,construction3,establish_vale_do_rio_doce,
496,steel,26,excavation4,expand_itabira_iron_mines,establish_vale_do_rio_doce
488,steel,18,excavation4,develop_cerro_bolivar_iron,
522,steel,12,excavation3,survey_pilbara_iron,
522,steel,28,excavation5,develop_pilbara_iron_ore,survey_pilbara_iron
332,steel,22,excavation4,develop_labrador_trough,
332,steel,26,construction4,expand_labrador_iron_railway,develop_labrador_trough
275,chromium,18,excavation3,develop_bushveld_chromium,
275,chromium,24,excavation4,expand_bushveld_chromium,develop_bushveld_chromium
275,coal,16,excavation3,expand_witbank_coal,
275,coal,20,excavation4,modernize_transvaal_coal,expand_witbank_coal
623,chromium,14,excavation3,develop_zambales_chromite,
623,chromium,16,excavation4,expand_zambales_chromite,develop_zambales_chromite
545,chromium,12,excavation2,expand_rhodesian_chromium,
545,coal,10,excavation2,develop_wankie_colliery,
51,coal,18,excavation4,deep_shaft_ruhr_mining,
51,coal,22,excavation5,mechanize_ruhr_collieries,deep_shaft_ruhr_mining
570,coal,20,excavation3,expand_kuzbass_coal_basin,
570,coal,26,construction4,kuzbass_industrial_integration,expand_kuzbass_coal_basin
716,coal,18,excavation3,expand_fushun_coal_mine,
716,coal,14,excavation4,fushun_open_pit_expansion,expand_fushun_coal_mine
227,coal,20,excavation3,rebuild_donbas_mines,
227,coal,28,excavation4,mechanize_donbas_coal,rebuild_donbas_mines
340,chromium,12,excavation3,expand_bursa_chromium,
342,chromium,14,excavation3,develop_antalya_chromium,
130,coal,14,excavation3,expand_yorkshire_coalfields,
130,coal,16,excavation4,mechanize_yorkshire_coal,expand_yorkshire_coalfields
122,coal,12,excavation3,expand_welsh_coal_mines,
360,coal,22,excavation3,expand_pennsylvania_anthracite,
360,coal,26,excavation4,modernize_pennsylvania_coal,expand_pennsylvania_anthracite
816,coal,24,excavation3,expand_west_virginia_coal,
816,coal,28,excavation4,mechanize_west_virginia_coal,expand_west_virginia_coal
213,aluminium,12,excavation3,develop_kola_peninsula_bauxite,
213,aluminium,16,excavation4,expand_kola_bauxite,develop_kola_peninsula_bauxite
536,coal,14,excavation3,expand_hokkaido_coal_mines,
528,coal,16,excavation3,expand_kyushu_coal_mines,
158,aluminium,8,excavation3,develop_piedmont_bauxite,
22,aluminium,12,excavation3,expand_languedoc_bauxite,
22,aluminium,14,excavation4,modernize_languedoc_bauxite,expand_languedoc_bauxite
229,oil,24,excavation3,expand_baku_oil_fields,
229,oil,28,excavation4,offshore_caspian_drilling,expand_baku_oil_fields
229,oil,32,excavation5,neft_dashlari_complex,offshore_caspian_drilling
672,oil,16,excavation3,expand_sumatran_oil,
672,oil,18,excavation4,modernize_sumatran_oil,expand_sumatran_oil
334,rubber,12,construction3,expand_borneo_rubber,
672,rubber,16,construction3,expand_sumatran_rubber,
422,rubber,14,construction2,expand_ceylon_rubber,
422,rubber,16,construction4,modernize_ceylon_rubber,expand_ceylon_rubber
288,oil,12,excavation3,expand_yenangyaung_oil,
413,oil,20,excavation5,modernize_khuzestan_oil,develop_khuzestan_oil_fields
859,oil,30,excavation5,develop_ghawar_field,develop_nejd_oil_fields
607,tungsten,10,excavation2,develop_mawchi_tungsten_deposits,
603,steel,10,excavation3,develop_liaoning_steel_deposits,
718,oil,8,excavation2,develop_angola_oil_deposits,
719,oil,6,excavation2,develop_nigeria_oil_deposits,
720,oil,10,excavation2,develop_gabon_oil_deposits,
332,aluminium,8,excavation3,develop_riau_aluminium_deposits,
611,aluminium,8,excavation3,develop_laos_aluminium_deposits,
612,steel,10,excavation3,develop_shanxi_steel_deposits,
614,aluminium,8,excavation3,develop_cambodia_aluminium_deposits,
615,aluminium,8,excavation3,develop_vietnam_aluminium_deposits,
608,aluminium,12,excavation3,develop_guizhou_aluminium_deposits,
508,oil,18,excavation6,develop_burgan_field,
508,oil,22,excavation7,expand_burgan_field,develop_burgan_field
508,oil,24,excavation8,kuwait_offshore_exploration,expand_burgan_field
508,oil,30,excavation9,maximize_kuwait_production,kuwait_offshore_exploration
859,oil,24,excavation6,expand_ghawar_infrastructure,
680,oil,20,excavation7,safaniya_offshore_field,
859,oil,28,excavation8,abqaiq_deep_drilling,expand_ghawar_infrastructure
859,oil,34,excavation9,maximize_aramco_output,abqaiq_deep_drilling
278,oil,16,excavation6,expand_kirkuk_field,
454,oil,20,excavation7,develop_rumaila_field,
454,oil,26,excavation8,expand_rumaila_field,develop_rumaila_field
454,oil,24,excavation9,iraq_petroleum_modernization,expand_rumaila_field
413,oil,18,excavation6,develop_gachsaran_field,
413,oil,22,excavation7,expand_agha_jari_field,
413,oil,20,excavation8,kharg_island_terminal,expand_agha_jari_field
413,oil,26,excavation9,maximize_nioc_output,kharg_island_terminal
677,oil,14,excavation6,qatar_dukhan_expansion,
677,oil,16,excavation8,das_island_offshore,
677,oil,20,excavation9,murban_bab_discovery,
704,oil,12,excavation7,survey_niger_delta,
704,oil,18,excavation8,develop_oloibiri_oil,survey_niger_delta
704,oil,24,excavation9,expand_niger_delta_oil,develop_oloibiri_oil
663,oil,12,excavation7,libyan_desert_exploration,
664,oil,18,excavation8,develop_zelten_oil_2,libyan_desert_exploration
664,oil,26,excavation9,expand_sirte_basin_oil,develop_zelten_oil_2
514,oil,14,excavation7,saharan_oil_exploration,
514,oil,20,excavation8,expand_hassi_messaoud,saharan_oil_exploration
514,oil,24,excavation9,maximize_algerian_oil,expand_hassi_messaoud
713,oil,10,excavation8,develop_ozouri_oil,
713,oil,14,excavation9,expand_port_gentil_oil,develop_ozouri_oil
295,steel,16,excavation6,katanga_mining_expansion,
295,steel,20,excavation7,mechanize_katanga_mines,katanga_mining_expansion
295,tungsten,14,excavation8,advanced_congo_extraction,mechanize_katanga_mines
703,steel,14,excavation6,expand_copperbelt,
703,steel,18,excavation7,nchanga_open_pit,expand_copperbelt
545,chromium,12,excavation8,modernize_rhodesian_chromium,
545,coal,16,excavation9,maximize_wankie_coal,
275,steel,14,excavation7,sishen_iron_ore_mine,
275,steel,18,excavation8,expand_sishen_mine,sishen_iron_ore_mine
275,coal,20,excavation9,transvaal_advanced_coal,
275,steel,22,excavation9,palabora_mining_complex,
780,aluminium,18,excavation8,fria_bauxite_complex,
780,aluminium,24,excavation9,sangaredi_bauxite_discovery,fria_bauxite_complex
298,steel,14,excavation6,bomi_hills_iron,
298,steel,18,excavation8,nimba_mountains_iron,bomi_hills_iron
298,rubber,16,excavation7,expand_liberian_rubber_2,
489,oil,18,excavation6,expand_bolivar_coastal_field,
490,oil,16,excavation7,orinoco_belt_survey,
489,oil,22,excavation8,deepwater_lake_maracaibo_2,expand_bolivar_coastal_field
489,oil,28,excavation9,maximize_venezuelan_oil,deepwater_lake_maracaibo_2
496,steel,16,excavation6,expand_csn_volta_redonda,
495,chromium,14,excavation7,serra_do_navio_manganese,
496,steel,24,excavation8,carajas_mineral_survey,
495,oil,12,excavation7,develop_bahia_oil,
495,oil,16,excavation8,expand_reconcavo_basin,develop_bahia_oil
504,steel,14,excavation6,expand_chuquicamata,
504,steel,18,excavation7,el_teniente_expansion,expand_chuquicamata
504,steel,20,excavation8,escondida_preliminary_survey,
504,steel,24,excavation9,modernize_chilean_mining,escondida_preliminary_survey
689,aluminium,18,excavation6,kaiser_bauxite_expansion,
689,aluminium,22,excavation8,alpart_alumina_refinery,kaiser_bauxite_expansion
689,aluminium,26,excavation9,maximize_jamaican_bauxite,alpart_alumina_refinery
487,steel,16,excavation8,toquepala_copper_mine,
487,steel,20,excavation9,expand_toquepala,toquepala_copper_mine
302,tungsten,14,excavation7,comibol_nationalization_modernization,
302,steel,16,excavation8,mutun_iron_ore_survey,
300,oil,16,excavation6,poza_rica_oil_expansion,
300,oil,20,excavation8,develop_bermudez_complex,poza_rica_oil_expansion
300,oil,24,excavation9,modernize_pemex_infrastructure,develop_bermudez_complex
672,oil,18,excavation6,minas_field_discovery,
672,oil,22,excavation7,expand_minas_field,minas_field_discovery
672,oil,26,excavation8,duri_field_development,expand_minas_field
673,oil,24,excavation9,offshore_java_sea_survey,
430,coal,16,excavation6,expand_damodar_valley_coal,
430,steel,18,excavation7,bhilai_steel_plant,
870,aluminium,12,excavation2,survey_darling_range_bauxite,
870,aluminium,16,excavation4,develop_darling_range,survey_darling_range_bauxite
870,aluminium,24,excavation7,expand_western_australia_bauxite,develop_darling_range
520,aluminium,14,excavation5,survey_gove_peninsula_bauxite,
520,aluminium,22,excavation8,develop_gove_bauxite_mine,survey_gove_peninsula_bauxite
938,aluminium,16,excavation4,trombetas_bauxite_survey,
938,aluminium,20,excavation7,develop_trombetas_bauxite,trombetas_bauxite_survey
938,aluminium,24,excavation9,expand_amazon_bauxite_extraction,develop_trombetas_bauxite
426,aluminium,10,excavation3,survey_odisha_bauxite,
426,aluminium,18,excavation5,develop_panchpatmali_bauxite,survey_odisha_bauxite
424,aluminium,12,excavation4,survey_andhra_pradesh_bauxite,
599,aluminium,14,excavation3,survey_pingguo_bauxite,
599,aluminium,20,excavation6,develop_guangxi_bauxite,survey_pingguo_bauxite
607,aluminium,12,excavation3,survey_sanmenxia_bauxite,
607,aluminium,16,excavation5,develop_henan_bauxite,survey_sanmenxia_bauxite
315,aluminium,8,excavation2,cuba_bauxite_extraction,
318,aluminium,6,excavation3,haiti_miragoane_bauxite,
319,aluminium,8,excavation4,dominican_pedernales_bauxite,
372,aluminium,16,excavation3,expand_arkansas_bauxite,
372,aluminium,20,excavation5,maximize_arkansas_bauxite,expand_arkansas_bauxite
672,aluminium,14,excavation2,develop_bintan_island_bauxite,
672,aluminium,18,excavation4,expand_bintan_bauxite,develop_bintan_island_bauxite
780,aluminium,26,excavation6,expand_boke_bauxite_mines,
780,aluminium,32,excavation8,maximize_guinea_bauxite_output,expand_boke_bauxite_mines
274,aluminium,18,excavation4,expand_awas_bauxite_mine,
870,steel,20,excavation3,survey_hamersley_range_iron,
870,steel,30,excavation6,develop_mount_tom_price,survey_hamersley_range_iron
870,steel,40,excavation8,expand_pilbara_iron_megaproject,develop_mount_tom_price
938,steel,24,excavation6,carajas_iron_ore_survey,
938,steel,36,excavation9,develop_carajas_iron_mine,carajas_iron_ore_survey
466,steel,18,excavation4,develop_schefferville_iron,
466,steel,26,excavation7,expand_quebec_labrador_iron,develop_schefferville_iron
435,steel,16,excavation2,expand_singhbhum_iron_mines,
435,steel,22,excavation5,modernize_bihar_iron_extraction,expand_singhbhum_iron_mines
426,steel,14,excavation3,develop_keonjhar_iron_ore,
436,steel,18,excavation4,develop_bailadila_iron_mines,
605,steel,16,excavation4,survey_panzhihua_iron,
605,steel,24,excavation7,develop_panzhihua_steel_complex,survey_panzhihua_iron
716,steel,22,excavation3,expand_anshan_iron_mines,
716,steel,28,excavation6,modernize_liaoning_steel,expand_anshan_iron_mines
557,steel,16,excavation5,survey_zouerate_iron_ore,
557,steel,24,excavation8,develop_mauritania_iron_mines,survey_zouerate_iron_ore
275,steel,26,excavation6,kumba_iron_ore_expansion,
496,steel,30,excavation5,expand_itabira_iron_complex,
488,steel,22,excavation5,expand_cerro_bolivar_iron,
391,steel,28,excavation3,mesabi_range_taconite_processing,
391,steel,34,excavation6,maximize_mesabi_iron_output,mesabi_range_taconite_processing
298,steel,22,excavation5,expand_nimba_iron_mines,
298,steel,26,excavation7,modernize_liberian_iron_extraction,expand_nimba_iron_mines
492,steel,16,excavation4,develop_marcona_iron_mine,
275,chromium,28,excavation5,eastern_limb_bushveld_chromite,
275,chromium,34,excavation7,western_limb_bushveld_chromite,eastern_limb_bushveld_chromite
275,chromium,40,excavation9,maximize_south_african_chromium,western_limb_bushveld_chromite
545,chromium,18,excavation4,great_dyke_chromite_expansion,
545,chromium,24,excavation6,modernize_rhodesian_chromite,great_dyke_chromite_expansion
407,chromium,20,excavation4,expand_khromtau_chromium_1,
407,chromium,26,excavation7,expand_khromtau_chromium_2,expand_khromtau_chromium_1
426,chromium,14,excavation3,survey_sukinda_chromite,
426,chromium,22,excavation6,develop_odisha_chromium,survey_sukinda_chromite
623,chromium,22,excavation5,masinloc_chromite_expansion,
623,chromium,28,excavation8,maximize_zambales_chromite,masinloc_chromite_expansion
543,chromium,10,excavation3,survey_andriamena_chromite,
543,chromium,16,excavation6,develop_madagascar_chromium,survey_andriamena_chromite
315,chromium,14,excavation3,cuba_moa_bay_chromite,
315,chromium,18,excavation5,expand_cuban_chromite,cuba_moa_bay_chromite
939,chromium,12,excavation4,amapa_chromite_survey,
939,chromium,16,excavation6,develop_amapa_chromite,amapa_chromite_survey
635,chromium,14,excavation3,new_caledonia_tiebaghi_chromite,
635,chromium,20,excavation6,expand_tiebaghi_chromite_mine,new_caledonia_tiebaghi_chromite
340,chromium,18,excavation4,expand_anatolia_chromite,
342,chromium,20,excavation5,expand_fethiye_chromite,
345,chromium,24,excavation6,modernize_mersin_chromite,
411,chromium,12,excavation3,survey_isfahan_chromite,
411,chromium,16,excavation5,develop_iranian_chromite,survey_isfahan_chromite
411,chromium,20,excavation7,expand_iranian_chromite,develop_iranian_chromite
600,tungsten,16,excavation4,expand_jiangxi_tungsten_1,
600,tungsten,22,excavation6,modernize_jiangxi_tungsten_2,expand_jiangxi_tungsten_1
600,tungsten,28,excavation8,maximize_jiangxi_tungsten,modernize_jiangxi_tungsten_2
602,tungsten,16,excavation4,expand_hunan_tungsten_1,
602,tungsten,22,excavation7,modernize_hunan_tungsten,expand_hunan_tungsten_1
1029,tungsten,18,excavation4,expand_sangdong_tungsten,
1029,tungsten,24,excavation7,modernize_sangdong_mine,expand_sangdong_tungsten
302,tungsten,16,excavation5,cholla_mine_tungsten_expansion,
302,tungsten,20,excavation7,bolivian_tungsten_mechanization,cholla_mine_tungsten_expansion
378,tungsten,12,excavation3,expand_pine_creek_tungsten,
378,tungsten,16,excavation5,modernize_california_tungsten,expand_pine_creek_tungsten
379,tungsten,10,excavation3,survey_mill_city_tungsten,
379,tungsten,14,excavation5,develop_nevada_tungsten,survey_mill_city_tungsten
382,tungsten,12,excavation4,develop_climax_molybdenum_tungsten,
768,tungsten,10,excavation3,survey_rwanda_wolframite,
768,tungsten,14,excavation5,develop_rwanda_tungsten,survey_rwanda_wolframite
769,tungsten,8,excavation4,develop_burundi_wolframite,
518,tungsten,10,excavation3,survey_king_island_scheelite,
518,tungsten,16,excavation5,develop_king_island_tungsten,survey_king_island_scheelite
521,tungsten,12,excavation4,develop_mount_carbine_tungsten,
472,tungsten,14,excavation6,survey_cantung_tungsten_mine,
472,tungsten,20,excavation8,develop_cantung_mine,survey_cantung_tungsten_mine
864,tungsten,16,excavation7,survey_mactung_deposit,
493,tungsten,10,excavation4,develop_pasto_bueno_tungsten,
493,tungsten,14,excavation6,expand_peruvian_tungsten,develop_pasto_bueno_tungsten
